Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
1,Pirates of the Caribbean: Dead Man's Chest,-,-,-,"$423,317,154","4,133","$423,315,812",Jul 7,Walt Disney Studios Motion Pictures,false
2,Cars,-,-,-,"$244,082,982","3,988","$244,082,982",Jun 9,Walt Disney Studios Motion Pictures,false
3,X-Men: The Last Stand,-,-,-,"$234,362,462","3,714","$234,362,462",May 26,Twentieth Century Fox,false
4,The Da Vinci Code,-,-,-,"$217,536,138","3,757","$217,536,138",May 19,Sony Pictures Entertainment (SPE),false
5,Superman Returns,-,-,-,"$200,081,192","4,065","$200,081,192",Jun 28,Warner Bros.,false
6,Ice Age: The Meltdown,-,-,-,"$195,330,621","3,969","$195,330,621",Mar 31,Twentieth Century Fox,false
7,Happy Feet,-,-,-,"$175,967,627","3,804","$198,000,317",Nov 17,Warner Bros.,false
8,Over the Hedge,-,-,-,"$155,019,340","4,093","$155,019,340",May 19,DreamWorks,false
9,Casino Royale,-,-,-,"$153,531,944","3,443","$167,445,960",Nov 17,Sony Pictures Entertainment (SPE),false
10,Talladega Nights: The Ballad of Ricky Bobby,-,-,-,"$148,213,377","3,807","$148,213,377",Aug 4,Sony Pictures Entertainment (SPE),false
11,Click,-,-,-,"$137,355,633","3,764","$137,355,633",Jun 23,Revolution Studios,false
12,Mission: Impossible III,-,-,-,"$134,029,801","4,059","$134,029,801",May 5,Paramount Pictures,false
13,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,-,-,-,"$125,601,414","2,611","$128,505,958",Nov 3,Twentieth Century Fox,false
14,The Devil Wears Prada,-,-,-,"$124,740,460","2,882","$124,740,460",Jun 30,Twentieth Century Fox,false
15,The Departed,-,-,-,"$120,359,613","3,017","$132,384,315",Oct 6,Warner Bros.,false
16,The Break-Up,-,-,-,"$118,703,275","3,146","$118,703,275",Jun 2,Universal Pictures,false
17,Night at the Museum,-,-,-,"$115,822,154","3,768","$250,863,268",Dec 22,Twentieth Century Fox,false
18,The Pursuit of Happyness,-,-,-,"$98,411,670","3,169","$163,566,459",Dec 15,Sony Pictures Entertainment (SPE),false
19,Scary Movie 4,-,-,-,"$90,710,620","3,674","$90,710,620",Apr 14,-,false
20,Failure to Launch,-,-,-,"$88,715,192","3,202","$88,715,192",Mar 10,Paramount Pictures,false
21,Inside Man,-,-,-,"$88,513,495","2,867","$88,513,495",Mar 24,Universal Pictures,false
22,Open Season,-,-,-,"$84,303,558","3,833","$85,105,259",Sep 29,Sony Pictures Entertainment (SPE),false
23,The Santa Clause 3: The Escape Clause,-,-,-,"$83,549,047","3,458","$84,500,122",Nov 3,Walt Disney Studios Motion Pictures,false
24,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",-,-,-,"$82,270,870","3,853","$291,710,957",Dec 9,Walt Disney Studios Motion Pictures,false
25,The Pink Panther,-,-,-,"$82,226,474","3,477","$82,226,474",Feb 10,Sony Pictures Entertainment (SPE),false
26,Eight Below,-,-,-,"$81,612,565","3,122","$81,612,565",Feb 17,Walt Disney Studios Motion Pictures,false
27,Saw III,-,-,-,"$80,238,724","3,167","$80,238,724",Oct 27,Lionsgate,false
28,Nacho Libre,-,-,-,"$80,197,993","3,083","$80,197,993",Jun 16,Paramount Pictures,false
29,"You, Me and Dupree",-,-,-,"$75,628,110","3,137","$75,628,110",Jul 14,Universal Pictures,false
30,Monster House,-,-,-,"$73,661,010","3,553","$73,661,010",Jul 21,Sony Pictures Entertainment (SPE),false
31,Jackass Number Two,-,-,-,"$72,778,712","3,063","$72,778,712",Sep 22,Paramount Pictures,false
32,Barnyard,-,-,-,"$72,637,803","3,311","$72,637,803",Aug 4,Paramount Pictures,false
33,RV,-,-,-,"$71,726,025","3,651","$71,726,025",Apr 28,Sony Pictures Entertainment (SPE),false
34,Brokeback Mountain,-,-,-,"$70,612,954","2,089","$83,043,761",Dec 9,Focus Features,false
35,V for Vendetta,-,-,-,"$70,511,035","3,365","$70,511,035",Mar 17,Warner Bros.,false
36,World Trade Center,-,-,-,"$70,278,893","3,021","$70,278,893",Aug 9,Paramount Pictures,false
37,Big Momma's House 2,-,-,-,"$70,165,972","3,261","$70,165,972",Jan 27,Twentieth Century Fox,false
38,Step Up,-,-,-,"$65,326,375","2,647","$65,328,121",Aug 11,Walt Disney Studios Motion Pictures,false
39,Miami Vice,-,-,-,"$63,450,470","3,026","$63,450,470",Jul 28,Universal Pictures,false
40,Madea's Family Reunion,-,-,-,"$63,257,940","2,194","$63,257,940",Feb 24,Lionsgate,false
41,The Fast and the Furious: Tokyo Drift,-,-,-,"$62,514,415","3,030","$62,514,415",Jun 16,Universal Pictures,false
42,Underworld: Evolution,-,-,-,"$62,318,875","3,207","$62,318,875",Jan 20,Screen Gems,false
43,Flushed Away,-,-,-,"$61,733,119","3,707","$64,665,672",Nov 3,DreamWorks,false
44,Deja Vu,-,-,-,"$61,574,479","3,108","$64,038,616",Nov 22,Walt Disney Studios Motion Pictures,false
