Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
1,The Dark Knight,-,-,-,"$530,924,926","4,366","$533,345,358",Jul 18,Warner Bros.,false
2,Iron Man,-,-,-,"$318,313,199","4,154","$318,604,126",May 2,Paramount Pictures,false
3,Indiana Jones and the Kingdom of the Crystal Skull,-,-,-,"$317,101,119","4,264","$317,101,119",May 22,Paramount Pictures,false
4,Hancock,-,-,-,"$227,946,274","3,965","$227,946,274",Jul 2,Sony Pictures Entertainment (SPE),false
5,WALL·E,-,-,-,"$223,790,612","3,992","$223,808,164",Jun 27,Walt Disney Studios Motion Pictures,false
6,Kung Fu Panda,-,-,-,"$215,434,591","4,136","$215,434,591",Jun 6,DreamWorks,false
7,Madagascar: Escape 2 Africa,-,-,-,"$175,687,934","4,065","$180,010,950",Nov 7,DreamWorks,false
8,Twilight,-,-,-,"$170,672,976","3,649","$192,769,854",Nov 21,Summit Entertainment,false
9,Quantum of Solace,-,-,-,"$165,258,802","3,501","$168,368,427",Nov 14,Sony Pictures Entertainment (SPE),false
10,Horton Hears a Who!,-,-,-,"$154,529,439","3,961","$154,529,439",Mar 14,Twentieth Century Fox,false
11,Sex and the City,-,-,-,"$152,647,258","3,325","$152,647,258",May 30,Warner Bros.,false
12,Mamma Mia!,-,-,-,"$144,130,063","3,194","$144,130,063",Jul 18,Universal Pictures,false
13,The Chronicles of Narnia: Prince Caspian,-,-,-,"$141,621,490","3,929","$141,621,490",May 16,Walt Disney Studios Motion Pictures,false
14,The Incredible Hulk,-,-,-,"$134,806,913","3,508","$134,806,913",Jun 13,Universal Pictures,false
15,Wanted,-,-,-,"$134,508,551","3,185","$134,508,551",Jun 27,Universal Pictures,false
16,Get Smart,-,-,-,"$130,319,208","3,915","$130,319,208",Jun 20,Warner Bros.,false
17,Juno,-,-,-,"$115,568,813","2,534","$143,495,265",Dec 5,Fox Searchlight Pictures,false
18,Four Christmases,-,-,-,"$114,136,302","3,540","$120,146,040",Nov 26,Warner Bros.,false
19,Tropic Thunder,-,-,-,"$110,515,313","3,473","$110,515,313",Aug 13,DreamWorks,false
20,Bolt,-,-,-,"$105,380,479","3,654","$114,053,579",Nov 21,Walt Disney Studios Motion Pictures,false
21,The Mummy: Tomb of the Dragon Emperor,-,-,-,"$102,491,776","3,778","$102,491,776",Aug 1,Universal Pictures,false
22,Journey to the Center of the Earth,-,-,-,"$101,704,370","2,830","$101,704,370",Jul 11,Warner Bros.,false
23,Eagle Eye,-,-,-,"$101,198,986","3,614","$101,440,743",Sep 26,DreamWorks,false
24,Step Brothers,-,-,-,"$100,468,793","3,182","$100,468,793",Jul 25,Sony Pictures Entertainment (SPE),false
25,You Don't Mess with the Zohan,-,-,-,"$100,018,837","3,466","$100,018,837",Jun 6,Sony Pictures Entertainment (SPE),false
26,"10,000 BC",-,-,-,"$94,784,201","3,454","$94,784,201",Mar 7,Warner Bros.,false
27,Beverly Hills Chihuahua,-,-,-,"$93,034,296","3,239","$94,514,402",Oct 3,Walt Disney Studios Motion Pictures,false
28,The Bucket List,-,-,-,"$92,719,141","2,915","$93,466,502",Dec 25,Warner Bros.,false
29,High School Musical 3: Senior Year,-,-,-,"$89,682,061","3,626","$90,559,416",Oct 24,Walt Disney Studios Motion Pictures,false
30,Pineapple Express,-,-,-,"$87,341,380","3,072","$87,341,380",Aug 6,Sony Pictures Entertainment (SPE),false
31,National Treasure: Book of Secrets,-,-,-,"$86,700,433","3,832","$219,964,115",Dec 21,Walt Disney Studios Motion Pictures,false
32,21,-,-,-,"$81,159,365","2,952","$81,159,365",Mar 28,Sony Pictures Entertainment (SPE),false
33,What Happens in Vegas,-,-,-,"$80,277,646","3,255","$80,277,646",May 9,Twentieth Century Fox,false
34,Jumper,-,-,-,"$80,172,128","3,430","$80,172,128",Feb 14,Twentieth Century Fox,false
35,Cloverfield,-,-,-,"$80,048,433","3,411","$80,048,433",Jan 18,Paramount Pictures,false
36,27 Dresses,-,-,-,"$76,808,654","3,074","$76,808,654",Jan 18,Twentieth Century Fox,false
37,Hellboy II: The Golden Army,-,-,-,"$75,986,503","3,212","$75,986,503",Jul 11,Universal Pictures,false
38,Marley & Me,-,-,-,"$72,444,071","3,505","$143,153,751",Dec 25,Twentieth Century Fox,false
39,Vantage Point,-,-,-,"$72,266,306","3,163","$72,266,306",Feb 22,Sony Pictures Entertainment (SPE),false
40,The Spiderwick Chronicles,-,-,-,"$71,195,053","3,847","$71,195,053",Feb 14,Paramount Pictures,false
41,Alvin and the Chipmunks,-,-,-,"$70,249,659","3,499","$217,326,974",Dec 14,Twentieth Century Fox,false
42,Fool's Gold,-,-,-,"$70,231,041","3,125","$70,231,041",Feb 8,Warner Bros.,false
43,The Day the Earth Stood Still,-,-,-,"$67,286,845","3,560","$79,366,978",Dec 12,Twentieth Century Fox,false
