Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
1,A Quiet Place Part II,-,-,-,"$129,100,713","3,744","$129,100,713",May 28,Paramount Pictures,false
2,Godzilla vs. Kong,-,-,-,"$98,784,490","3,084","$100,102,879",Mar 31,Warner Bros.,false
3,Cruella,-,-,-,"$66,876,535","3,922","$66,876,535",May 28,Walt Disney Studios Motion Pictures,false
4,Raya and the Last Dragon,-,-,-,"$54,398,581","2,375","$54,398,581",Mar 5,Walt Disney Studios Motion Pictures,false
5,The Conjuring: The Devil Made Me Do It,-,-,-,"$50,111,284","3,280","$50,111,284",Jun 4,Warner Bros.,false
6,Tom and Jerry,-,-,-,"$45,822,877","2,563","$46,041,123",Feb 26,Warner Bros.,false
7,Mortal Kombat,-,-,-,"$37,343,225","3,114","$42,109,781",Apr 23,Warner Bros.,false
8,Demon Slayer: Mugen Train,-,-,-,"$36,549,517","2,088","$47,700,000",Apr 23,FUNimation Entertainment,false
9,Wrath of Man,-,-,-,"$26,994,489","3,007","$26,994,489",May 7,United Artists Releasing,false
10,The Croods: A New Age,-,-,-,"$26,227,830","2,211","$58,562,110",Nov 25,Universal Pictures,false
11,Nobody,-,-,-,"$26,155,975","2,567","$26,155,975",Mar 26,Universal Pictures,false
12,Wonder Woman 1984,-,-,-,"$23,506,920","2,218","$46,534,027",Dec 25,Warner Bros.,false
13,Peter Rabbit 2: The Runaway,-,-,-,"$23,191,619","3,346","$23,191,619",Jun 11,Sony Pictures Entertainment (SPE),false
14,Spiral,-,-,-,"$23,070,837","2,991","$23,070,837",May 14,Lionsgate,false
15,The Hitman's Wife's Bodyguard,-,-,-,"$20,252,118","3,361","$20,252,118",Jun 16,Lionsgate,false
16,In the Heights,-,-,-,"$16,829,628","3,509","$16,829,628",Jun 11,Warner Bros.,false
17,The Marksman,-,-,-,"$15,566,093","2,018","$15,566,093",Jan 15,Open Road Films (II),false
18,The Unholy,-,-,-,"$15,530,440","2,057","$15,530,440",Apr 2,Screen Gems,false
19,The Little Things,-,-,-,"$15,241,800","2,206","$15,244,012",Jan 29,Warner Bros.,false
20,Spirit Untamed,-,-,-,"$14,569,740","3,394","$14,569,740",Jun 4,Universal Pictures,false
